年別,月份,亞洲地區,日本,韓國,香港,中國大陸,澳門,越南,泰國,馬來西亞,新加坡,菲律賓,印尼,印度,非洲地區,美洲地區,美國,加拿大,大洋洲地區,澳洲,紐西蘭,歐洲地區,比利時,法國,德國,義大利,荷蘭,英國,西班牙,瑞典,瑞士,其他未列明,小計
108,1,768758,146184,116976,93187,238906,7516,20132,27164,29126,28937,38002,14773,2562,833,57371,45499,10108,14196,12179,1817,26382,612,3867,5037,1461,1911,5328,919,718,794,171,853715
108,2,869039,144923,114425,106441,283470,13090,44016,28829,47541,25749,34801,15959,3608,1135,51172,39192,10125,7887,6598,1038,26767,503,4583,4914,1215,1768,5594,926,635,784,202,940727
108,3,957661,215809,94907,117545,270192,9926,35725,42649,56985,45117,40788,17012,3739,1026,72800,55763,14949,9520,7847,1361,38347,959,4713,10072,2088,2473,6620,1100,966,1148,144,1060453
108,4,976547,166364,80214,170484,307354,12869,37539,42283,44586,39008,49894,14881,3051,1041,67997,52601,13023,16646,14141,2200,38992,746,5851,8717,1930,2556,7662,1213,835,1494,170,1081496
108,5,936715,167157,80273,128377,316168,11304,31685,37656,48125,33953,50689,20262,4085,895,63049,48830,12246,9071,7541,1325,29877,693,4413,5352,1829,2128,5592,1187,702,958,151,1022530
108,6,836481,138537,68770,137074,260919,13199,36371,26881,38779,36940,44206,25911,3159,821,63539,53787,7945,8162,6621,1258,23502,510,3520,3757,1367,1666,4838,867,668,658,192,918208
108,7,886770,145794,72797,151395,322444,17405,36939,27447,22902,23022,38328,18989,3245,1098,60699,48942,9858,9296,7471,1587,30765,771,5115,4418,1553,2535,5830,1181,706,1026,137,971700
108,8,937523,203510,93694,164668,282999,21921,33966,21045,30161,25085,33327,17345,3141,1259,55783,43915,9303,6901,5326,1264,29326,748,5068,4550,1560,2124,5868,1399,547,728,145,1013262
108,9,704612,190356,95639,106150,116037,11875,32894,22973,34667,31340,32786,18992,3668,1146,49565,39126,8479,9786,8088,1390,29100,697,4071,5549,1480,1928,5524,1135,702,926,206,776472
108,10,817610,207000,125060,116971,114852,10048,34077,44159,48341,41001,43915,21584,3168,1025,66684,52442,12126,11826,9725,1786,41837,1003,6039,7903,1873,2866,9680,1423,967,1307,149,919316
108,11,864737,216968,139176,129635,96933,11579,32263,39931,63090,57114,47839,19445,3638,1057,75546,59507,14024,10919,9030,1629,37965,965,5389,6812,2022,3090,7293,1579,1002,1165,173,971118
