年別,月份,亞洲地區,非洲地區,美洲地區,大洋洲地區,歐洲地區,其他未列明,小計
108,1,768758,833,57371,14196,26382,171,867711
108,2,869039,1135,51172,7887,26767,202,956202
108,3,957661,1026,72800,9520,38347,144,1079498
108,4,976547,1041,67997,16646,38992,170,1101393
108,5,936715,895,63049,9071,29877,151,1039758
108,6,836481,821,63539,8162,23502,192,932697
108,7,886770,1098,60699,9296,30765,137,988765
108,8,937523,1259,55783,6901,29326,145,1030937
108,9,704612,1146,49565,9786,29100,206,794415
108,10,817610,1025,66684,11826,41837,149,939131
108,11,864737,1057,75546,10919,37965,173,990397
108,12,1005246,1201,82049,20650,33892,163,1143201
109,1,701467,861,62860,16551,29368,1863,812970
109,2,312578,862,24722,3911,15179,105,357357
109,3,63359,227,8127,1301,5225,20,78259
109,4,2094,1,232,19,211,2,2559
109,5,2424,9,381,25,374,37,3250
109,6,5826,28,675,59,710,193,7491
109,7,9301,35,1241,86,1056,29,11748
109,8,15266,64,1396,113,1592,105,18536
109,9,20115,81,1476,141,1673,34,23520
109,10,15525,116,1519,142,1648,32,18982
109,11,17456,100,1938,142,1478,63,21177
109,12,18576,118,1550,116,998,654,22012
110,1,10987,63,1833,106,1666,139,14794
110,2,10470,62,911,96,1115,20,12674
110,3,15406,83,1097,225,1572,23,18406
110,4,14626,116,1216,100,1730,55,17843
110,5,8286,45,1092,62,1201,33,10719
110,6,1570,28,515,57,540,69,2779
110,7,3064,32,1363,39,913,69,5480
110,8,4811,75,1257,136,1622,59,7960
110,9,8559,126,1371,146,1943,119,12264
110,10,10727,122,1440,105,1668,45,14107
110,11,10427,97,1247,133,1341,216,13461
110,12,7063,52,1300,153,1102,322,9992
111,1,4399,59,1305,128,1601,147,7639
111,2,7678,136,1266,114,1523,839,11556
111,3,16364,136,1436,173,1900,27,20036
111,4,25529,170,1546,204,2293,18,29760
111,5,27286,156,2169,232,2566,57,32466
111,6,30200,155,4182,242,2952,723,38454
111,7,38130,336,6129,440,4842,114,49991
111,8,52810,561,5865,501,6337,3225,69299
111,9,54929,391,6042,794,6065,97,68318
111,10,70267,469,12688,1660,7992,130,93206
111,11,130754,382,25143,3218,13185,455,173137
111,12,238446,459,41071,7214,14734,176,302100
112,1,196050,595,32910,7547,17061,196,254359
112,2,312527,689,32274,5033,18484,91,369098
112,3,399721,605,50459,7192,28033,161,486171
112,4,459498,718,51336,9928,31545,186,553211
112,5,438136,571,49117,6437,21993,142,516396
112,6,421261,723,62561,6687,18278,183,509693
112,7,456135,832,56099,7074,22920,328,543388
112,8,507646,1207,49233,6148,25929,295,590458
112,9,458843,896,45262,9815,23540,302,538658
112,10,516726,883,61554,10413,31941,132,621649
112,11,574614,765,71501,10602,31480,143,689105
112,12,690898,870,77670,17329,27782,216,814765
113,1,499300,670,52320,13628,23829,214,589961
113,2,557342,1139,55308,7496,26899,164,648348
113,3,669976,828,80381,12830,47368,225,811608
113,4,499501,920,63423,13394,32730,178,610146
113,5,491986,763,57189,7645,23999,166,581748
113,6,463163,799,76767,8490,22119,172,571510
113,7,443771,1076,63093,7205,24139,170,539454
113,8,530187,1252,53606,5904,25798,175,616922
113,9,486937,1098,48576,12088,26589,167,575455
113,10,546782,1030,66061,13118,33996,128,661115
113,11,622845,863,79168,11397,33388,139,747800
113,12,765749,1102,88963,18525,29127,153,903619
114,1,538609,934,66621,15387,29330,197,651078
114,2,598694,1412,61467,8534,28945,106,699158
114,3,638690,925,84959,14134,39786,82,778576
114,4,610353,1096,78923,16440,44240,97,751149
114,5,604226,896,64596,10224,30892,99,710933
114,6,498266,810,75967,8702,22506,95,606346
114,7,482688,1120,66358,8456,27479,125,586226
114,8,580154,1464,54513,6523,30287,161,673102
114,9,512476,1043,48029,10260,29373,158,601339
114,10,629773,1044,73591,13474,39820,158,757860
114,11,662285,998,89776,13850,45191,136,812236
114,12,794392,1226,94663,20467,35650,146,946544
115,1,602180,841,68606,16783,34808,157,723375
115,2,521044,1241,62962,9121,30489,751,625608
總計(Total),,32831898,55294,3411717,582024,1646430,19211,38546574
